secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.01,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.02,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.03,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.04,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.05,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.06,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.07,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.08,,,,,,,,,,,,,,7.0,1.0,8.0,30DBP,11,Idle
0.09,0.020941,0.021161,0.051525,0.117459,-0.073724,-0.990337,0.008533,0.009591,0.026958,0.997581,0.036919,0.058892,0.00055,7.0,1.0,8.0,30DBP,11,Idle
0.1,0.01591,0.026721,0.04786,0.118281,-0.073719,-0.99024,0.004552,-0.000881,0.022497,0.997557,0.036904,0.059314,0.000779,7.0,1.0,8.0,30DBP,11,Idle
0.11,0.005109,0.023674,0.056234,0.119162,-0.0738,-0.990128,0.003687,-0.008521,0.019776,0.997528,0.03693,0.059766,0.00102,7.0,1.0,8.0,30DBP,11,Idle
0.12,-0.023207,0.018449,0.070054,0.119888,-0.073666,-0.990051,0.003876,-0.018497,0.01564,0.997509,0.036845,0.060143,0.001328,7.0,1.0,8.0,30DBP,11,Idle
0.13,-0.04874,0.014489,0.0855,0.120396,-0.073159,-0.990027,0.004421,-0.026969,0.009039,0.997502,0.036567,0.060412,0.001715,7.0,1.0,8.0,30DBP,11,Idle
0.14,-0.061831,0.006834,0.100108,0.120798,-0.072459,-0.990029,0.005956,-0.027318,0.001214,0.997502,0.036187,0.06063,0.002195,7.0,1.0,8.0,30DBP,11,Idle
0.15,-0.04843,-0.000644,0.095071,0.121085,-0.071772,-0.990044,0.004403,-0.016226,0.000237,0.997504,0.035812,0.06079,0.002691,7.0,1.0,8.0,30DBP,11,Idle
0.16,-0.02579,-0.005427,0.078091,0.121291,-0.071196,-0.99006,0.001298,-0.005281,-0.001715,0.997507,0.035496,0.060908,0.003124,7.0,1.0,8.0,30DBP,11,Idle
0.17,-0.00632,-0.009985,0.065584,0.121377,-0.070988,-0.990065,-0.003091,-0.005214,-0.000933,0.997507,0.03537,0.060964,0.003481,7.0,1.0,8.0,30DBP,11,Idle
0.18,0.015874,-0.013351,0.0565,0.121338,-0.071268,-0.990049,-0.008316,-0.006979,-6.3e-05,0.997502,0.035492,0.060955,0.003775,7.0,1.0,8.0,30DBP,11,Idle
0.19,0.035945,-0.018447,0.056179,0.121261,-0.071969,-0.990008,-0.010574,-0.005531,0.003497,0.997491,0.035827,0.060929,0.004058,7.0,1.0,8.0,30DBP,11,Idle
0.2,0.050917,-0.017584,0.058454,0.121197,-0.073161,-0.989929,-0.009777,-0.001195,0.006759,0.997469,0.036408,0.060911,0.004347,7.0,1.0,8.0,30DBP,11,Idle
0.21,0.047156,-0.023249,0.062713,0.121098,-0.074632,-0.989831,-0.010533,-0.004515,0.008477,0.997444,0.037128,0.060877,0.004654,7.0,1.0,8.0,30DBP,11,Idle
0.22,0.029766,-0.03245,0.080331,0.120945,-0.075937,-0.98975,-0.012883,-0.00733,0.011281,0.997422,0.037761,0.060819,0.005013,7.0,1.0,8.0,30DBP,11,Idle
0.23,0.007845,-0.04288,0.095609,0.120635,-0.076637,-0.989734,-0.010466,-0.01307,0.0069,0.997415,0.038086,0.060682,0.005444,7.0,1.0,8.0,30DBP,11,Idle
0.24,-0.01966,-0.054047,0.124986,0.120124,-0.076699,-0.989792,-0.008674,-0.012641,0.007095,0.997427,0.038086,0.060445,0.005982,7.0,1.0,8.0,30DBP,11,Idle
0.25,-0.043721,-0.061816,0.145313,0.119387,-0.076512,-0.989895,-0.007052,-0.010203,0.006955,0.997448,0.037953,0.060099,0.006656,7.0,1.0,8.0,30DBP,11,Idle
0.26,-0.048455,-0.066741,0.138485,0.118446,-0.076276,-0.990027,-0.002296,-0.01105,0.009115,0.997476,0.037793,0.059652,0.007376,7.0,1.0,8.0,30DBP,11,Idle
0.27,-0.055231,-0.073381,0.130994,0.117432,-0.075974,-0.990171,-0.008499,-0.008163,0.010373,0.997507,0.037604,0.059166,0.008054,7.0,1.0,8.0,30DBP,11,Idle
0.28,-0.058117,-0.078149,0.134303,0.116425,-0.075532,-0.990323,-0.011613,-0.005614,0.020673,0.99754,0.037346,0.058683,0.008722,7.0,1.0,8.0,30DBP,11,Idle
0.29,-0.04545,-0.086074,0.124788,0.115358,-0.075312,-0.990465,-0.005526,-0.010869,0.025682,0.997569,0.0372,0.05817,0.009389,7.0,1.0,8.0,30DBP,11,Idle
0.3,-0.048167,-0.089544,0.089354,0.114234,-0.075239,-0.990601,0.009851,-0.023226,0.027695,0.997598,0.037136,0.057624,0.00994,7.0,1.0,8.0,30DBP,11,Idle
0.31,-0.040199,-0.098581,0.065084,0.113147,-0.075293,-0.990721,0.026745,-0.0301,0.037978,0.997624,0.037145,0.057093,0.010327,7.0,1.0,8.0,30DBP,11,Idle
0.32,-0.022706,-0.095057,0.050816,0.112114,-0.075356,-0.990834,0.043267,-0.043754,0.046574,0.997649,0.037165,0.056584,0.010613,7.0,1.0,8.0,30DBP,11,Idle
0.33,-0.021047,-0.108254,0.058641,0.111098,-0.075403,-0.990945,0.054781,-0.084235,0.072183,0.997674,0.037178,0.056083,0.010873,7.0,1.0,8.0,30DBP,11,Idle
0.34,-0.053046,-0.123704,0.072156,0.109934,-0.075239,-0.991087,0.077291,-0.133883,0.092512,0.997706,0.037083,0.05551,0.011199,7.0,1.0,8.0,30DBP,11,Idle
0.35,-0.136366,-0.130389,0.081741,0.108614,-0.074487,-0.991289,0.102644,-0.175696,0.122683,0.997753,0.03669,0.054855,0.011583,7.0,1.0,8.0,30DBP,11,Idle
0.36,-0.279704,-0.126206,0.109313,0.107276,-0.072658,-0.991571,0.130563,-0.206334,0.136148,0.997817,0.03575,0.05419,0.012122,7.0,1.0,8.0,30DBP,11,Idle
0.37,-0.509503,-0.014463,0.142355,0.106298,-0.068867,-0.991947,0.174067,-0.229839,0.148166,0.997903,0.03382,0.053693,0.012751,7.0,1.0,8.0,30DBP,11,Idle
0.38,-1.193558,-0.159895,1.474045,0.106197,-0.061801,-0.992423,0.185749,-0.23425,0.157797,0.997964,0.030064,0.05371,0.016717,7.0,1.0,8.0,30DBP,11,Idle
0.39,-1.890675,-0.888285,2.07074,0.098796,-0.047786,-0.99396,0.493062,-0.364109,0.198153,0.99814,0.022613,0.050088,0.026393,7.0,1.0,8.0,30DBP,11,Idle
0.4,-2.32825,-1.211212,1.71598,0.087211,-0.028457,-0.995783,0.857125,-0.301179,0.144206,0.998282,0.012644,0.044141,0.036385,7.0,1.0,8.0,30DBP,11,Idle
0.41,-2.718679,-1.352888,1.566309,0.074,-0.004506,-0.997248,0.583761,-0.249462,0.148173,0.998306,0.000591,0.037089,0.044834,7.0,1.0,8.0,30DBP,11,Idle
0.42,-3.01462,-1.544747,1.997074,0.059378,0.023037,-0.99797,0.383142,-0.292843,0.138351,0.998024,-0.013117,0.029036,0.054148,7.0,1.0,8.0,30DBP,11,Idle
0.43,-3.25074,-1.602585,2.584103,0.044428,0.053226,-0.997594,0.377234,-0.342929,0.119893,0.997208,-0.028041,0.020417,0.066122,7.0,1.0,8.0,30DBP,11,Idle
0.44,-3.325906,-1.574212,3.305689,0.0307,0.085215,-0.995889,0.420838,-0.337855,0.155634,0.995658,-0.04376,0.011844,0.0813,7.0,1.0,8.0,30DBP,11,Idle
0.45,-3.725636,-1.847506,3.096993,0.016528,0.119127,-0.992741,0.557874,-0.395342,0.192052,0.99335,-0.060197,0.002373,0.098117,7.0,1.0,8.0,30DBP,11,Idle
0.46,-4.062079,-1.991025,2.671811,0.001472,0.157822,-0.987466,0.568413,-0.268876,0.190241,0.99044,-0.078733,-0.008237,0.112972,7.0,1.0,8.0,30DBP,11,Idle
0.47,-4.022559,-2.167075,2.738441,-0.0143,0.197898,-0.980118,0.550982,-0.114081,0.232392,0.986897,-0.097717,-0.019806,0.126861,7.0,1.0,8.0,30DBP,11,Idle
