secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded,label
0.0,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.01,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.02,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.03,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.04,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.05,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.06,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.07,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.08,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.09,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.1,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.11,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.12,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.13,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.14,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.15,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.16,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.17,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.18,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.19,,,,,,,,,,,,,,12.0,1.0,12.0,DSP,12,Idle
0.2,-0.006994,-0.05237,0.025557,-0.303375,0.370409,-0.87793,-0.005127,-0.013689,-0.002884,0.969002,-0.191055,-0.15663,0.000457,12.0,1.0,12.0,DSP,12,Idle
0.21,-0.004329,-0.060807,0.028256,-0.303715,0.37046,-0.87779,-0.002208,-0.017387,-0.002382,0.968966,-0.191061,-0.156845,0.000628,12.0,1.0,12.0,DSP,12,Idle
0.22,-0.009056,-0.062933,0.034524,-0.304124,0.370766,-0.87752,-0.000152,-0.017937,-0.001157,0.968896,-0.191196,-0.157112,0.000852,12.0,1.0,12.0,DSP,12,Idle
0.23,-0.007612,-0.060805,0.028666,-0.30457,0.370917,-0.877302,0.006047,-0.010733,0.006849,0.968839,-0.191252,-0.157391,0.001053,12.0,1.0,12.0,DSP,12,Idle
0.24,-0.017263,-0.058384,0.037123,-0.304999,0.37098,-0.877126,0.007224,-0.01339,0.0118,0.968794,-0.191261,-0.157659,0.001252,12.0,1.0,12.0,DSP,12,Idle
0.25,-0.04213,-0.056145,0.043212,-0.30536,0.37134,-0.876848,0.008058,-0.026872,0.019823,0.968722,-0.191423,-0.157903,0.001484,12.0,1.0,12.0,DSP,12,Idle
0.26,-0.065134,-0.046797,0.043714,-0.305619,0.371907,-0.876517,0.00705,-0.034581,0.027549,0.968636,-0.191696,-0.158095,0.001709,12.0,1.0,12.0,DSP,12,Idle
0.27,-0.068133,-0.04572,0.040875,-0.305916,0.372485,-0.876168,0.006645,-0.028109,0.022195,0.968546,-0.191982,-0.1583,0.00189,12.0,1.0,12.0,DSP,12,Idle
0.28,-0.052319,-0.049154,0.050547,-0.306207,0.372912,-0.875885,0.00631,-0.015826,0.004242,0.968472,-0.192184,-0.158502,0.002088,12.0,1.0,12.0,DSP,12,Idle
0.29,-0.070532,-0.043111,0.050605,-0.306429,0.373303,-0.87564,0.005938,-0.014416,-0.008011,0.968408,-0.192362,-0.158672,0.002312,12.0,1.0,12.0,DSP,12,Idle
0.3,-0.098948,-0.033845,0.041462,-0.306589,0.373891,-0.875334,0.00445,-0.003056,-0.001909,0.968329,-0.192652,-0.158803,0.002485,12.0,1.0,12.0,DSP,12,Idle
0.31,-0.117412,-0.027276,0.043308,-0.306645,0.37483,-0.874912,-0.00233,-0.005034,-0.006695,0.96822,-0.193137,-0.158877,0.002617,12.0,1.0,12.0,DSP,12,Idle
0.32,-0.125594,-0.008852,0.044767,-0.306588,0.375857,-0.874492,-0.00434,-0.016528,-0.019277,0.968111,-0.19367,-0.158891,0.002737,12.0,1.0,12.0,DSP,12,Idle
0.33,-0.163043,-0.00263,0.045767,-0.306451,0.376942,-0.874073,-0.001456,-0.026158,-0.024624,0.968002,-0.194237,-0.158857,0.002825,12.0,1.0,12.0,DSP,12,Idle
0.34,-0.094635,-0.032253,0.046917,-0.306517,0.377865,-0.873651,0.005659,-0.032757,-0.025367,0.967893,-0.194721,-0.158929,0.002918,12.0,1.0,12.0,DSP,12,Idle
0.35,-0.035553,-0.000394,0.071095,-0.306473,0.378245,-0.873501,0.024216,-0.029963,-0.05556,0.967854,-0.194887,-0.15896,0.003149,12.0,1.0,12.0,DSP,12,Idle
0.36,0.004776,0.021365,0.045492,-0.306116,0.378287,-0.873609,0.031657,-0.002798,0.000516,0.967881,-0.194862,-0.158822,0.003398,12.0,1.0,12.0,DSP,12,Idle
0.37,0.008898,0.031398,0.044261,-0.30564,0.378049,-0.873878,0.004172,-0.002911,0.006035,0.96795,-0.194699,-0.158598,0.003569,12.0,1.0,12.0,DSP,12,Idle
0.38,-0.035325,0.047528,0.060683,-0.305055,0.378209,-0.874013,-0.002654,-0.031362,0.007345,0.967984,-0.194742,-0.158332,0.003777,12.0,1.0,12.0,DSP,12,Idle
0.39,-0.091702,0.065809,0.053609,-0.304375,0.378792,-0.873998,0.013985,-0.036552,0.011007,0.967979,-0.195018,-0.158016,0.003939,12.0,1.0,12.0,DSP,12,Idle
0.4,-0.150741,0.084109,0.049751,-0.303573,0.379642,-0.873908,0.013092,-0.036456,0.014243,0.967956,-0.195455,-0.157617,0.00399,12.0,1.0,12.0,DSP,12,Idle
0.41,-0.192387,0.082727,0.055996,-0.302649,0.380872,-0.873693,-0.005121,-0.045148,0.00971,0.9679,-0.196104,-0.157152,0.003991,12.0,1.0,12.0,DSP,12,Idle
0.42,-0.213845,0.084581,0.073221,-0.30163,0.38228,-0.873431,-0.005332,-0.0562,-0.006467,0.967832,-0.19684,-0.156648,0.004036,12.0,1.0,12.0,DSP,12,Idle
0.43,-0.200609,0.088514,0.063262,-0.300231,0.383734,-0.873275,-0.003068,-0.029775,-0.001145,0.967792,-0.197591,-0.155949,0.004102,12.0,1.0,12.0,DSP,12,Idle
0.44,-0.12453,0.088139,0.05268,-0.298915,0.385269,-0.873051,-0.007924,0.009568,0.001988,0.967733,-0.198384,-0.155302,0.004199,12.0,1.0,12.0,DSP,12,Idle
0.45,-0.057974,0.08805,0.055809,-0.297976,0.386162,-0.872977,-0.01518,0.041893,-0.010445,0.967714,-0.198836,-0.154841,0.004291,12.0,1.0,12.0,DSP,12,Idle
0.46,-0.026203,0.083636,0.066941,-0.29708,0.38647,-0.873146,-0.024835,0.053639,-0.025169,0.967757,-0.198965,-0.154402,0.00444,12.0,1.0,12.0,DSP,12,Idle
0.47,-0.03798,0.071151,0.085478,-0.296116,0.386806,-0.873325,-0.01875,0.020894,-0.034863,0.967802,-0.19909,-0.15395,0.004696,12.0,1.0,12.0,DSP,12,Idle
